,,Grade Book,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Safety Test,Company Philosophy Test,Financial Skills Test,Drug Test,,Safety Test,Company Philosophy Test,Financial Skills Test,Drug Test,,Fire Employee?
,Points Possible,,10,20,100,1,,,,,,,
Last Name,First Name,,,,,,,,,,,,
Sharma,Aarav,,10,19,93,1,,100%,95%,93%,100%,,FALSE
Nair,Priya,,9,20,100,1,,90%,100%,100%,100%,,FALSE
Mehta,Rahul,,8,17,82,1,,80%,85%,82%,100%,,FALSE
Iyer,Ananya,,9,10,73,1,,90%,50%,73%,100%,,FALSE
Reddy,Karthik,,10,20,59,1,,100%,100%,59%,100%,,FALSE
Patel,Sneha,,9,17,100,1,,90%,85%,100%,100%,,FALSE
Kumar,Arjun,,8,20,100,0,,80%,100%,100%,0%,,TRUE
Menon,Divya,,5,6,100,1,,50%,30%,100%,100%,,TRUE
Verma,Rohan,,10,20,67,1,,100%,100%,67%,100%,,FALSE
Rao,Kavya,,9,20,70,1,,90%,100%,70%,100%,,FALSE
Joshi,Aditya,,10,19,80,1,,100%,95%,80%,100%,,FALSE
Krishnan,Meera,,8,17,90,1,,80%,85%,90%,100%,,FALSE
Singh,Vikram,,9,19,45,0,,90%,95%,45%,0%,,TRUE
Kapoor,Neha,,7,20,90,1,,70%,100%,90%,100%,,FALSE
Desai,Sanjay,,10,10,80,1,,100%,50%,80%,100%,,FALSE
Shah,Pooja,,11,20,69,1,,110%,100%,69%,100%,,FALSE
Malhotra,Nikhil,,10,14,90,1,,100%,70%,90%,100%,,FALSE
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Max,,,11,20,100,1,,110.00%,100.00%,100.00%,100.00%,,
Min,,,5,6,45,0,,50.00%,30.00%,45.00%,0.00%,,
Average,,,8.941176471,16.94117647,81.64705882,0.882352941,,89.41%,84.71%,81.65%,88.24%,,
